Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save
21:05,22:10,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 05m,Air Europa,137 €,2024-03-07 13:38:09
8:30,9:35,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 05m,Air Europa,175 €,2024-03-07 13:38:09
21:35,22:45,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Iberia,171 €,2024-03-07 13:38:09
12:30,13:35,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 05m,Air Europa,342 €,2024-03-07 13:38:09
17:45,18:55,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Iberia,332 €,2024-03-07 13:38:10
13:35,14:45,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Iberia,332 €,2024-03-07 13:38:10
21:35,22:45,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 10m,Vueling,363 €,2024-03-07 13:38:10
16:50,17:55,Bilbao,BIO,Madrid-Barajas,MAD,directo,1h 05m,Air Europa,399 €,2024-03-07 13:38:10
8:50,13:45,Bilbao,BIO,Madrid-Barajas,MAD,AGP,4h 55m,"Vueling, Air Europa",197 €,2024-03-07 13:38:10
18:35,22:50,Bilbao,BIO,Madrid-Barajas,MAD,SVQ,4h 15m,"Volotea, Iberia Express",266 €,2024-03-07 13:38:10
14:25,18:15,Bilbao,BIO,Madrid-Barajas,MAD,AGP,3h 50m,"Volotea, Air Europa",315 €,2024-03-07 13:38:10
7:40,13:00,Bilbao,BIO,Madrid-Barajas,MAD,BCN,5h 20m,Vueling,290 €,2024-03-07 13:38:10
8:40,13:35,Bilbao,BIO,Madrid-Barajas,MAD,ALC,4h 55m,"Vueling, Air Europa",310 €,2024-03-07 13:38:10
7:40,11:40,Bilbao,BIO,Madrid-Barajas,MAD,BCN,4h 00m,"Vueling, Iberia",466 €,2024-03-07 13:38:10
18:55,23:20,Bilbao,BIO,Madrid-Barajas,MAD,LIS,4h 25m,TAP AIR PORTUGAL,569 €,2024-03-07 13:38:10
15:50,20:20,Bilbao,BIO,Madrid-Barajas,MAD,BCN,4h 30m,"Vueling, Iberia",568 €,2024-03-07 13:38:10
18:05,22:55,Bilbao,BIO,Madrid-Barajas,MAD,SCQ,4h 50m,Iberia,831 €,2024-03-07 13:38:10
7:40,13:00,Bilbao,BIO,Madrid-Barajas,MAD,BCN,5h 20m,Iberia,832 €,2024-03-07 13:38:10
